2025-07-02 19:16:23, Run: 74, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:16:29, Run: 75, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:16:34, Run: 76, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:16:40, Run: 77, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:16:45, Run: 78, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:16:51, Run: 79, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:16:57, Run: 80, Outcome: loss, Duration: 3 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:17:02, Run: 81, Outcome: loss, Duration: 1 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:17:08, Run: 82, Outcome: loss, Duration: 1 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:17:13, Run: 83, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:17:19, Run: 84, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:17:24, Run: 85, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:17:30, Run: 86, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:17:36, Run: 87, Outcome: loss, Duration: 3 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:17:41, Run: 88, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:17:47, Run: 89, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:17:52, Run: 90, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:17:58, Run: 91, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:18:03, Run: 92, Outcome: loss, Duration: 1 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:18:09, Run: 93, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:18:14, Run: 94, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:18:20, Run: 95, Outcome: loss, Duration: 1 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:18:24, Run: 96, Outcome: win, Duration: 1 seconds, Final PlayerHP: 386, Final BossHP: 0
2025-07-02 19:18:31, Run: 97, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:18:37, Run: 98, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:18:42, Run: 99, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:18:48, Run: 100, Outcome: loss, Duration: 3 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:18:53, Run: 101, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:18:59, Run: 102, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:19:04, Run: 103, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:19:10, Run: 104, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:19:15, Run: 105, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:19:21, Run: 106, Outcome: loss, Duration: 1 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:19:26, Run: 107, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:19:32, Run: 108, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:19:35, Run: 109, Outcome: win, Duration: 0 seconds, Final PlayerHP: 454, Final BossHP: 0
2025-07-02 19:19:37, Run: 110, Outcome: loss, Duration: 1 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:19:43, Run: 111, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:19:48, Run: 112, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:19:54, Run: 113, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:20:00, Run: 114, Outcome: loss, Duration: 3 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:20:05, Run: 115, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:20:11, Run: 116, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:20:17, Run: 117, Outcome: loss, Duration: 3 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:20:22, Run: 118, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:20:28, Run: 119, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:20:34, Run: 120, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:20:39, Run: 121, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:20:45, Run: 122, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:20:50, Run: 123, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:20:56, Run: 124, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:21:02, Run: 125, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:21:08, Run: 126, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:21:13, Run: 127, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:21:19, Run: 128, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:21:25, Run: 129, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:21:30, Run: 130, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:21:36, Run: 131, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:21:42, Run: 132, Outcome: loss, Duration: 1 seconds, Final PlayerHP: 0, Final BossHP: 3660972929
2025-07-02 19:21:47, Run: 133, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:21:53, Run: 134, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:21:59, Run: 135, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:22:05, Run: 136, Outcome: loss, Duration: 3 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:22:10, Run: 137, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:22:16, Run: 138, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 2002029128
2025-07-02 19:22:22, Run: 139, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 2002029128
2025-07-02 19:22:27, Run: 140, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:22:33, Run: 141, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:22:38, Run: 142, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:22:44, Run: 143, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:22:49, Run: 144, Outcome: loss, Duration: 1 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:22:55, Run: 145, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:23:00, Run: 146, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:23:06, Run: 147, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:23:12, Run: 148, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:23:17, Run: 149, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:23:23, Run: 150, Outcome: loss, Duration: 3 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:23:28, Run: 151, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:23:34, Run: 152, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:23:40, Run: 153, Outcome: loss, Duration: 3 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:23:45, Run: 154, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:23:51, Run: 155, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:23:56, Run: 156, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:24:02, Run: 157, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:24:07, Run: 158, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:24:13, Run: 159, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:24:19, Run: 160, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:24:24, Run: 161, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:24:30, Run: 162, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:24:35, Run: 163, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:24:41, Run: 164, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:24:46, Run: 165, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:24:52, Run: 166, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:24:57, Run: 167, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:25:03, Run: 168, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:25:08, Run: 169, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:25:14, Run: 170, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:25:20, Run: 171, Outcome: loss, Duration: 1 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:25:25, Run: 172, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:25:31, Run: 173, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:25:37, Run: 174, Outcome: loss, Duration: 3 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:25:43, Run: 175, Outcome: loss, Duration: 3 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:25:48, Run: 176, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:25:54, Run: 177, Outcome: loss, Duration: 1 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:25:59, Run: 178, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:26:05, Run: 179, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:26:10, Run: 180, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:26:16, Run: 181, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:26:21, Run: 182, Outcome: loss, Duration: 0 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:26:27, Run: 183, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:26:33, Run: 184, Outcome: loss, Duration: 3 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:26:38, Run: 185, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:26:43, Run: 186, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:26:49, Run: 187, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:26:54, Run: 188, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:27:00, Run: 189, Outcome: loss, Duration: 1 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:27:06, Run: 190, Outcome: loss, Duration: 3 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:27:11, Run: 191, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
